Population
5388.1
14798.4
5545.7
6951.2
3604.2
8600.8
1994.3
8534.8
1469.8
2309.5
10576.4
49565.2
34738.2
3919.2
39955.9
12895.3
4414.4
5225.9
5513.4
5104.9
2686.3
4268.6
3664.7
708.4
2512.9
3081.7
8888.8
2703.5
1186.3
1378.1
1787.1
1252.3
986
3393.1
