GDP
6706.246
9513.802
8397.036
9173.506
5368.596
7187.356
5077.706
5243.522
9062.51
24109.94
43274.316
7627.462
5745.544
6321.8
9689.1
8616.916
7810.472
4284.66
2772.164
7165.998
8843.842
8638.326
20289.092
0
8595.432
7086.67
6784.04
5575.648
2970.338
4375.47
2884.012
3026.528
8230.6
7793.408
