College Rate
44.58
31.14
43.09
35.07
31.42
26.41
38.39
23.08
14.73
26.68
40.34
25.75
22.62
74.69
29.52
33.07
36.46
31.28
31.28
25.36
25.7
27.35
39.16
22.71
34.61
39.32
42.69
47.4
37.74
29.44
48.62
43.97
35.3
21.87
