Literacy Rate
99.56
99.68
99.77
99.93
99.67
99.57
99.7
99.3
99.07
99.61
99.89
99.9
97.97
99.02
96.79
99.11
98.34
92.48
95.76
96.46
99.91
99.66
99.74
98.6
99.84
99.44
95.89
97.53
99.33
95.54
99.56
99.71
98.23
77.97
